text,noun_forms
she said she not yet decided anything she is not responding to calls and msgs,"[anything, calls, msgs]"
he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
still number shows off,[number]
lead assigned to raj hegde by anshul ,[lead]
he said he will call me once he get free he said if interested he will call me,[]
tried calling him again he still not picking up the call tried again he disconnecting the call,"[call, call]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still she is not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
tried again still not responding to call rnr tried again still not responding to call rnr tried again still not responding to call rnr ,[]
lead assigned to amit by anshul ,[lead]
he asked me to call on saturday to discuss had a call he said he will check and update he said he will inform if intrested,[call]
she said she is not interested as of now,[]
not responding to call rnr tried again he still not responding to call rnr,[]
number busy call disconnected tried again he still not responding to call,"[number, call, call]"
he said he will call me when he get free time to discuss the details he said he is not intretsed,"[time, details]"
tried again number switched off now,[number]
he said he want to associate as a channel partner so shared number to manoj sir,"[channel, partner, number]"
not responding to call rnr tried again still not responding to call rnr,[]
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
he said he is looking for fund raising for his project,"[fund, raising, project]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
he asked me to share details through whtsapp he said he will check and upadte he said he is not intretsed,[details]
had a call explained and shared details of investment through whtsapp he is not responding to calls and msgs he said he is not intrested,"[call, details, investment, calls]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
had a call explained and shared details through whtsapp he said he will connect with me today at post lunch he said he is not intretsed,"[call, details, today, lunch]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to ramakrishna katta by anshul ,[lead]
he said he not yet decided anything he said he will come back if intrested,[anything]
he asked me to share details through whtsapp he said he is not intrested,[details]
lead assigned to raj hegde by anshul ,[lead]
he is not responding to calls and msgs tried agains still not responding to calls and msgs,"[calls, agains, calls]"
he said he is not intretsed,[]
not responding to calls and msgs tried again not responding to calls and msgs,"[calls, calls, msgs]"
tried again still not responding to call rnr tried again still not responding to calls and msgs,"[call, calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
he said he not yet decided anything he said he need some more time discuss on the investment or else he asked me call me after a week,"[anything, time, investment, week]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
had a call he said send me the details through whtsapp if intretsed he said he will update he said he cannot proceed with the investment,"[call, details, investment]"
he said he did not enquired,[]
he said he is not intrested,[]
he is not responding to calls and msgs,"[calls, msgs]"
lead assigned to raj hegde by anshul ,[lead]
had a call explained and shared details through whtsapp,"[call, details]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
tried again still not responding to call so msgd him through whtsapp,[call]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
still number doesnt have incoming call service ,"[number, call, service]"
he said he is not intrested,[]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
tried again still not responding to call rnr he asked me to share details through whtsapp he said he is not intrested,[details]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
tried again but he didint picked up the call,[call]
tried again still he is disconnecting the call,[call]
lead assigned to raj hegde by anshul ,[lead]
tried again he is not responding to the call rnr ,[call]
tried again still not responding to calls and msgs she is not responding to calls and msgs,"[calls, msgs, calls, msgs]"
lead assigned to amit by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
had a call and explained and shared details through whtsapp he said he will meet up in the office one day to discuss he is not responding to calls and msgs,"[call, details, office, day, calls, msgs]"
lead assigned to ramakrishna katta by anshul ,[lead]
